family,rho0,rho_alt,method,R,rejection rate,MCSE
equicorrelation,0.0,0.0,Li-Chen,1000,0.064,0.007739767438366608
equicorrelation,0.0,0.0,Max-bootstrap,1000,0.042,0.0063431853196954605
equicorrelation,0.0,0.0,Ours-C(0.3),1000,0.05,0.006892024376045111
equicorrelation,0.0,0.0,Ours-C(0.5),1000,0.052,0.007021111023192838
equicorrelation,0.0,0.0,Ours-C(0.7),1000,0.052,0.007021111023192838
equicorrelation,0.0,0.0,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.0,Wang-NR,1000,0.004,0.001995995991979944
equicorrelation,0.0,0.0005,Li-Chen,1000,0.048,0.006759881655768835
equicorrelation,0.0,0.0005,Max-bootstrap,1000,0.065,0.007795832219846705
equicorrelation,0.0,0.0005,Ours-C(0.3),1000,0.082,0.008676174272108648
equicorrelation,0.0,0.0005,Ours-C(0.5),1000,0.083,0.008724161850859944
equicorrelation,0.0,0.0005,Ours-C(0.7),1000,0.086,0.008865889690267977
equicorrelation,0.0,0.0005,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.0005,Wang-NR,1000,0.002,0.0014127986409959489
equicorrelation,0.0,0.001,Li-Chen,1000,0.045,0.0065555320150236475
equicorrelation,0.0,0.001,Max-bootstrap,1000,0.058,0.007391616873188166
equicorrelation,0.0,0.001,Ours-C(0.3),1000,0.135,0.010806248192596726
equicorrelation,0.0,0.001,Ours-C(0.5),1000,0.137,0.010873407929439602
equicorrelation,0.0,0.001,Ours-C(0.7),1000,0.134,0.010772372069326236
equicorrelation,0.0,0.001,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.001,Wang-NR,1000,0.007,0.0026364749192814255
equicorrelation,0.0,0.002,Li-Chen,1000,0.051,0.00695693898205238
equicorrelation,0.0,0.002,Max-bootstrap,1000,0.053,0.00708456067798138
equicorrelation,0.0,0.002,Ours-C(0.3),1000,0.39,0.01542400726140908
equicorrelation,0.0,0.002,Ours-C(0.5),1000,0.387,0.015402305022301045
equicorrelation,0.0,0.002,Ours-C(0.7),1000,0.382,0.01536476488593301
equicorrelation,0.0,0.002,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.002,Wang-NR,1000,0.006,0.002442130217658346
equicorrelation,0.0,0.003,Li-Chen,1000,0.055,0.00720936890441875
equicorrelation,0.0,0.003,Max-bootstrap,1000,0.062,0.007626008130076967
equicorrelation,0.0,0.003,Ours-C(0.3),1000,0.648,0.015102847413650183
equicorrelation,0.0,0.003,Ours-C(0.5),1000,0.637,0.015206281596761254
equicorrelation,0.0,0.003,Ours-C(0.7),1000,0.642,0.01516034300403523
equicorrelation,0.0,0.003,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.003,Wang-NR,1000,0.006,0.002442130217658346
equicorrelation,0.0,0.004,Li-Chen,1000,0.06,0.007509993342207435
equicorrelation,0.0,0.004,Max-bootstrap,1000,0.04,0.0061967733539318665
equicorrelation,0.0,0.004,Ours-C(0.3),1000,0.813,0.012330085157856779
equicorrelation,0.0,0.004,Ours-C(0.5),1000,0.816,0.012253326079069309
equicorrelation,0.0,0.004,Ours-C(0.7),1000,0.816,0.012253326079069309
equicorrelation,0.0,0.004,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.004,Wang-NR,1000,0.009,0.002986469487538756
equicorrelation,0.0,0.005,Li-Chen,1000,0.086,0.008865889690267977
equicorrelation,0.0,0.005,Max-bootstrap,1000,0.054,0.007147307185227175
equicorrelation,0.0,0.005,Ours-C(0.3),1000,0.926,0.008277922444671728
equicorrelation,0.0,0.005,Ours-C(0.5),1000,0.922,0.008480330182251158
equicorrelation,0.0,0.005,Ours-C(0.7),1000,0.92,0.008579044235810886
equicorrelation,0.0,0.005,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.005,Wang-NR,1000,0.02,0.004427188724235731
equicorrelation,0.0,0.0075,Li-Chen,1000,0.096,0.009315793041926168
equicorrelation,0.0,0.0075,Max-bootstrap,1000,0.063,0.007683163410991596
equicorrelation,0.0,0.0075,Ours-C(0.3),1000,0.991,0.0029864694875387575
equicorrelation,0.0,0.0075,Ours-C(0.5),1000,0.989,0.0032983329122452166
equicorrelation,0.0,0.0075,Ours-C(0.7),1000,0.989,0.0032983329122452166
equicorrelation,0.0,0.0075,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.0075,Wang-NR,1000,0.011,0.003298332912245215
equicorrelation,0.0,0.01,Li-Chen,1000,0.176,0.012042591083317577
equicorrelation,0.0,0.01,Max-bootstrap,1000,0.062,0.007626008130076967
equicorrelation,0.0,0.01,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.01,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.0,0.01,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.01,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.01,Wang-NR,1000,0.033,0.005648982209212559
equicorrelation,0.0,0.015,Li-Chen,1000,0.446,0.01571890581433708
equicorrelation,0.0,0.015,Max-bootstrap,1000,0.057,0.007331507348424334
equicorrelation,0.0,0.015,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.015,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.0,0.015,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.015,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.015,Wang-NR,1000,0.159,0.011563693181678594
equicorrelation,0.0,0.02,Li-Chen,1000,0.771,0.013287550564344055
equicorrelation,0.0,0.02,Max-bootstrap,1000,0.065,0.007795832219846705
equicorrelation,0.0,0.02,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.02,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.0,0.02,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.02,Ours-I,1000,0.0,0.0
equicorrelation,0.0,0.02,Wang-NR,1000,0.474,0.01578999683343857
equicorrelation,0.0,0.03,Li-Chen,1000,0.994,0.002442130217658347
equicorrelation,0.0,0.03,Max-bootstrap,1000,0.091,0.009094998625618368
equicorrelation,0.0,0.03,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.03,Ours-C(0.5),1000,1.0,0.0
