family,rho0,rho_alt,method,R,rejection rate,MCSE
equicorrelation,0.0,0.03,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.03,Ours-I,1000,0.003,0.001729450779872038
equicorrelation,0.0,0.03,Wang-NR,1000,0.96,0.00619677335393187
equicorrelation,0.0,0.05,Li-Chen,1000,1.0,0.0
equicorrelation,0.0,0.05,Max-bootstrap,1000,0.149,0.01126050620531777
equicorrelation,0.0,0.05,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.05,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.0,0.05,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.05,Ours-I,1000,0.784,0.013013224043256921
equicorrelation,0.0,0.05,Wang-NR,1000,1.0,0.0
equicorrelation,0.0,0.075,Li-Chen,1000,1.0,0.0
equicorrelation,0.0,0.075,Max-bootstrap,1000,0.31,0.014625320509308504
equicorrelation,0.0,0.075,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.075,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.0,0.075,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.075,Ours-I,1000,1.0,0.0
equicorrelation,0.0,0.075,Wang-NR,1000,1.0,0.0
equicorrelation,0.0,0.1,Li-Chen,1000,1.0,0.0
equicorrelation,0.0,0.1,Max-bootstrap,1000,0.592,0.015541428505771277
equicorrelation,0.0,0.1,Ours-C(0.3),1000,1.0,0.0
equicorrelation,0.0,0.1,Ours-C(0.5),1000,1.0,0.0
equicorrelation,0.0,0.1,Ours-C(0.7),1000,1.0,0.0
equicorrelation,0.0,0.1,Ours-I,1000,1.0,0.0
equicorrelation,0.0,0.1,Wang-NR,1000,1.0,0.0
