study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_300_60_rho0p5,100,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.147,0.3984,1.3766159041431216,0.830596050499923,0.11126700289931614,0.011197812286335219
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_300_60_rho0p5,100,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.108,0.4171156977184173,16.724932380108978,-64.3412321599806,0.00690530500060413,0.009815090422405696
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.194,0.6137425776041873,-0.17397214851426984,-0.7729278894748208,0.0006439866995206103,0.012504559168559283
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.041,0.520162,2.8951868502608495,2.838918795402029,0.07499919050058816,0.006270486424512854
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.053,0.41197,1.052972702808881,0.9267136208860798,0.08137316840235144,0.00708456067798138
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.056,0.436828,1.0632212962858247,0.8052811221593743,0.08138709940295666,0.007270763371201128
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.054,0.45109,1.0706268616788963,0.69393295786766,0.08133914489904419,0.007147307185227175
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.066,0.44062799999999996,1.0592133266802075,0.8167834260302773,0.08083971189917065,0.007851369307324678
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_100_90_60_rho0p5,100,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.044,0.44009054487678634,-2.8242428322725233,-76.77371886500688,0.001349211101536639,0.006485676526007136
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.181,0.6269962664215514,-0.26116829102500166,-0.9234324382706667,0.000817881400231272,0.0121753439376471
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.056,0.52338,3.1404407601397923,3.0832218230418187,0.3318697556995321,0.007270763371201128
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.062,0.420734,1.049263424948997,0.8894146332330708,0.36133242000150495,0.007626008130076967
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.062,0.44420800000000005,1.0623480330542,0.7427245141662009,0.36269489269691985,0.007626008130076967
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.058,0.460272,1.0708785493541297,0.6301455057841397,0.3589466957988916,0.007391616873188166
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.065,0.447442,1.0621651461794823,0.7676129823635417,0.3553934972997522,0.007795832219846705
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_120_60_rho0p5,200,120,60,2.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.052,0.44816548163563247,-36.99581391527647,-337.9523408628488,0.0022594000009121375,0.007021111023192838
