p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,180,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,180,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
100,300,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.087,0.00891240708226459
100,300,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.181,0.0121753439376471
100,300,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.142,0.011037934589405754
100,300,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.128,0.010564847372300274
100,300,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.107,0.009775019181566858
100,300,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,300,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
100,90,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.084,0.008771772910877254
100,90,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.016,0.003967870965643918
100,90,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.064,0.007739767438366608
100,90,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.071,0.008121514637061242
100,90,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.065,0.007795832219846705
100,90,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,90,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,120,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.059,0.007451107300260815
200,120,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.012,0.003443254274665175
200,120,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.064,0.007739767438366608
200,120,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.063,0.007683163410991596
200,120,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.065,0.007795832219846705
200,120,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,120,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,180,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.075,0.008329165624478841
200,180,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.031,0.0054807846153630225
200,180,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.097,0.00935900635751467
200,180,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.098,0.009401914698613257
200,180,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.089,0.00900438781928011
200,180,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
