p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
200,80,100,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.048,0.006759881655768835
200,80,100,chisq1,equicorrelation,0.1,Ours-I,1000,0.006,0.002442130217658346
200,80,100,chisq1,equicorrelation,0.1,Wang-NR,1000,0.006,0.002442130217658346
200,80,100,chisq1,equicorrelation,0.5,Li-Chen,1000,0.216,0.013013224043256921
200,80,100,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.06,0.007509993342207435
200,80,100,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.069,0.008014923580421713
200,80,100,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.064,0.007739767438366608
200,80,100,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,80,100,chisq1,equicorrelation,0.5,Ours-I,1000,0.073,0.008226238508577295
200,80,100,chisq1,equicorrelation,0.5,Wang-NR,1000,0.061,0.0075682891065286355
200,80,100,chisq1,equicorrelation,0.9,Li-Chen,1000,0.256,0.013800869537822608
200,80,100,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.043,0.006414904519944158
200,80,100,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.052,0.007021111023192838
200,80,100,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.053,0.00708456067798138
200,80,100,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.057,0.007331507348424334
200,80,100,chisq1,equicorrelation,0.9,Ours-I,1000,0.053,0.00708456067798138
200,80,100,chisq1,equicorrelation,0.9,Wang-NR,1000,0.045,0.0065555320150236475
100,120,150,chisq1,toeplitz,0.1,Li-Chen,1000,0.128,0.010564847372300274
100,120,150,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.005,0.0022304708023195463
100,120,150,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.056,0.007270763371201128
100,120,150,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.053,0.00708456067798138
100,120,150,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.053,0.00708456067798138
100,120,150,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,120,150,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
100,120,150,chisq1,toeplitz,0.5,Li-Chen,1000,0.111,0.00993373041711924
100,120,150,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.017,0.004087909000944126
100,120,150,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.044,0.006485676526007136
100,120,150,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.049,0.006826346021115542
100,120,150,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.046,0.006624499981130651
100,120,150,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,120,150,chisq1,toeplitz,0.5,Wang-NR,1000,0.001,0.0009994998749374609
100,120,150,chisq1,toeplitz,0.9,Li-Chen,1000,0.101,0.009528850927577786
100,120,150,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.052,0.007021111023192838
100,120,150,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.052,0.007021111023192838
100,120,150,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.058,0.007391616873188166
100,120,150,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
100,120,150,chisq1,toeplitz,0.9,Ours-I,1000,0.031,0.0054807846153630225
100,120,150,chisq1,toeplitz,0.9,Wang-NR,1000,0.024,0.004839834707921336
100,80,100,chisq1,toeplitz,0.1,Li-Chen,1000,0.098,0.009401914698613257
100,80,100,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.001,0.0009994998749374609
100,80,100,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.06,0.007509993342207435
100,80,100,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.061,0.0075682891065286355
100,80,100,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.063,0.007683163410991596
100,80,100,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.5,Li-Chen,1000,0.078,0.008480330182251162
100,80,100,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.011,0.003298332912245215
100,80,100,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
100,80,100,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.058,0.007391616873188166
100,80,100,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.055,0.00720936890441875
100,80,100,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.9,Li-Chen,1000,0.091,0.009094998625618368
100,80,100,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.043,0.006414904519944158
100,80,100,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.05,0.006892024376045111
100,80,100,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.055,0.00720936890441875
100,80,100,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.058,0.007391616873188166
100,80,100,chisq1,toeplitz,0.9,Ours-I,1000,0.027,0.00512552436341883
100,80,100,chisq1,toeplitz,0.9,Wang-NR,1000,0.022,0.0046385342512479085
200,120,150,chisq1,toeplitz,0.1,Li-Chen,1000,0.1,0.009486832980505138
200,120,150,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.003,0.001729450779872038
200,120,150,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.07,0.008068457101577725
200,120,150,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.075,0.008329165624478841
200,120,150,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.07,0.008068457101577725
200,120,150,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
