family,rho0,rho_alt,method,R,rejection rate,MCSE
equicorrelation,0.0,0.0,Li-Chen,500,0.06,0.010620734437881401
equicorrelation,0.0,0.0,Max-bootstrap,500,0.04,0.008763560920082658
equicorrelation,0.0,0.0,Ours-C(0.3),500,0.054,0.010107818755794942
equicorrelation,0.0,0.0,Ours-C(0.5),500,0.056,0.010282412168358162
equicorrelation,0.0,0.0,Ours-C(0.7),500,0.056,0.010282412168358162
equicorrelation,0.0,0.0,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.0,Wang-NR,500,0.004,0.002822764602300376
equicorrelation,0.0,0.0005,Li-Chen,500,0.048,0.009559916317625379
equicorrelation,0.0,0.0005,Max-bootstrap,500,0.07,0.011410521460476731
equicorrelation,0.0,0.0005,Ours-C(0.3),500,0.09,0.012798437404620925
equicorrelation,0.0,0.0005,Ours-C(0.5),500,0.09,0.012798437404620925
equicorrelation,0.0,0.0005,Ours-C(0.7),500,0.092,0.012925633446759968
equicorrelation,0.0,0.0005,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.0005,Wang-NR,500,0.002,0.0019979989989987483
equicorrelation,0.0,0.001,Li-Chen,500,0.04,0.008763560920082658
equicorrelation,0.0,0.001,Max-bootstrap,500,0.064,0.010945684080951725
equicorrelation,0.0,0.001,Ours-C(0.3),500,0.13,0.015039946808416579
equicorrelation,0.0,0.001,Ours-C(0.5),500,0.13,0.015039946808416579
equicorrelation,0.0,0.001,Ours-C(0.7),500,0.128,0.014940950438308804
equicorrelation,0.0,0.001,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.001,Wang-NR,500,0.004,0.002822764602300376
equicorrelation,0.0,0.002,Li-Chen,500,0.052,0.00992935043192655
equicorrelation,0.0,0.002,Max-bootstrap,500,0.046,0.00936845771725528
equicorrelation,0.0,0.002,Ours-C(0.3),500,0.39,0.02181284025522582
equicorrelation,0.0,0.002,Ours-C(0.5),500,0.392,0.021832819332372078
equicorrelation,0.0,0.002,Ours-C(0.7),500,0.376,0.021662132858977667
equicorrelation,0.0,0.002,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.002,Wang-NR,500,0.01,0.0044497190922573975
equicorrelation,0.0,0.003,Li-Chen,500,0.042,0.008970618707759236
equicorrelation,0.0,0.003,Max-bootstrap,500,0.054,0.010107818755794942
equicorrelation,0.0,0.003,Ours-C(0.3),500,0.674,0.020963015050321363
equicorrelation,0.0,0.003,Ours-C(0.5),500,0.656,0.02124448163641561
equicorrelation,0.0,0.003,Ours-C(0.7),500,0.668,0.02106067425321421
equicorrelation,0.0,0.003,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.003,Wang-NR,500,0.004,0.002822764602300376
equicorrelation,0.0,0.004,Li-Chen,500,0.07,0.011410521460476731
equicorrelation,0.0,0.004,Max-bootstrap,500,0.032,0.007870959280799261
equicorrelation,0.0,0.004,Ours-C(0.3),500,0.808,0.017614539448989292
equicorrelation,0.0,0.004,Ours-C(0.5),500,0.816,0.017328819925199756
equicorrelation,0.0,0.004,Ours-C(0.7),500,0.812,0.017473179447370188
equicorrelation,0.0,0.004,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.004,Wang-NR,500,0.01,0.0044497190922573975
equicorrelation,0.0,0.005,Li-Chen,500,0.092,0.012925633446759968
equicorrelation,0.0,0.005,Max-bootstrap,500,0.048,0.009559916317625379
equicorrelation,0.0,0.005,Ours-C(0.3),500,0.936,0.01094568408095172
equicorrelation,0.0,0.005,Ours-C(0.5),500,0.932,0.01125841907196565
equicorrelation,0.0,0.005,Ours-C(0.7),500,0.926,0.011706750189527404
equicorrelation,0.0,0.005,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.005,Wang-NR,500,0.026,0.007116740827092132
equicorrelation,0.0,0.0075,Li-Chen,500,0.108,0.013880633991284405
equicorrelation,0.0,0.0075,Max-bootstrap,500,0.068,0.011258419071965654
equicorrelation,0.0,0.0075,Ours-C(0.3),500,0.99,0.0044497190922574
equicorrelation,0.0,0.0075,Ours-C(0.5),500,0.988,0.004869496893930627
equicorrelation,0.0,0.0075,Ours-C(0.7),500,0.986,0.0052543315464481325
equicorrelation,0.0,0.0075,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.0075,Wang-NR,500,0.018,0.005945754788081997
equicorrelation,0.0,0.01,Li-Chen,500,0.188,0.01747317944737019
equicorrelation,0.0,0.01,Max-bootstrap,500,0.052,0.00992935043192655
equicorrelation,0.0,0.01,Ours-C(0.3),500,1.0,0.0
equicorrelation,0.0,0.01,Ours-C(0.5),500,1.0,0.0
equicorrelation,0.0,0.01,Ours-C(0.7),500,1.0,0.0
equicorrelation,0.0,0.01,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.01,Wang-NR,500,0.048,0.009559916317625379
equicorrelation,0.0,0.015,Li-Chen,500,0.444,0.022219990999098087
equicorrelation,0.0,0.015,Max-bootstrap,500,0.062,0.010784804124322332
equicorrelation,0.0,0.015,Ours-C(0.3),500,1.0,0.0
equicorrelation,0.0,0.015,Ours-C(0.5),500,1.0,0.0
equicorrelation,0.0,0.015,Ours-C(0.7),500,1.0,0.0
equicorrelation,0.0,0.015,Ours-I,500,0.0,0.0
equicorrelation,0.0,0.015,Wang-NR,500,0.166,0.016639951923007473
equicorrelation,0.0,0.02,Li-Chen,500,0.778,0.018585801031970613
