study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE,block_size,high_variance,rho_block
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.072,0.5056193054317407,-0.026666621096078785,0.007676088046210475,0.0013332878032233566,0.011559930795640603,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,0.188,0.223532,4.443168351780048,4.411571436089868,0.3799698772013653,0.01747317944737019,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.786,0.04254,2.2067726620336963,2.0926649422228163,0.39998940760153345,0.01834142851579451,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.784,0.043268,3.888053383967716,3.629630021723334,0.39884266539965757,0.01840347793217358,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.788,0.045759999999999995,5.738096714412298,5.272939869189288,0.3998403805946,0.018278730809331373,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,0.196,0.091188,1.1281505767879376,1.1278988109068393,0.40134477340080776,0.01775297158224504,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.423104,239.3237202252639,239.17168409431252,0.3738312180000357,0.0,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p1,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.1,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.012,0.40415886173277515,1048.057895675044,1093.69636347274,0.004157872198615223,0.004869496893930624,80,25.0,0.1
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.076,0.44952836199317453,0.1843307193043713,0.1693891271981158,0.001372610998339951,0.011851075900524812,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,0.534,0.085716,4.73335318905079,4.711501542391055,0.3801602821983397,0.022308921982023246,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.914,0.018376,2.550349607641567,2.4541603262359124,0.40466326399706304,0.01253826144248077,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.916,0.018384,4.742613482128055,4.505626624638828,0.40485939759761097,0.012405160216619531,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.91,0.019091999999999998,7.172371975886737,6.747522422892931,0.4028909660053905,0.012798437404620923,80,25.0,0.15
