study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Li-Chen,0.05,0,500,0.06,0.4770041892852832,0.07793000307970152,0.08550700317195645,0.0015149573998060077,0.010620734437881401
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Max-bootstrap,0.05,500,500,0.04,0.423196,4.187179414060729,4.15195807841545,0.42086958619893994,0.008763560920082658
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Ours-C(0.3),0.05,500,500,0.054,0.441612,1.024217892979776,0.9431849825851442,0.43114820020087063,0.010107818755794942
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Ours-C(0.5),0.05,500,500,0.056,0.465308,1.0221008871940191,0.83121041578391,0.4302585417989176,0.010282412168358162
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Ours-C(0.7),0.05,500,500,0.056,0.47875999999999996,1.0170044791694197,0.688182171786303,0.4361925215999363,0.010282412168358162
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Ours-I,0.05,500,500,0.0,0.38419200000000003,1.0240273631980104,1.023752668002674,0.4427488901987672,0.0
study_power_target_eq0,eq0_power_target_200_120_150_0p0,200,120,150,0.8,equicorrelation,0.0,0.0,identity_to_equicorrelation_target_power,null,gaussian,Wang-NR,0.05,0,500,0.004,0.3490938784235668,5.088467603009615,5.039600952634828,0.004513955999398604,0.002822764602300376
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Li-Chen,0.05,0,500,0.048,0.485447953815686,0.03220477378209329,0.09007463387047572,0.0014041934004053473,0.009559916317625379
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Max-bootstrap,0.05,500,500,0.07,0.415584,4.205492775694422,4.16528266508411,0.4027633570001926,0.011410521460476731
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.09,0.42736799999999997,1.0596457338496839,0.9433188077597423,0.4228541164007038,0.012798437404620925
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.09,0.458604,1.1081364945887777,0.8287780543830221,0.42427253499871587,0.012798437404620925
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.092,0.474088,1.1573910729232069,0.7048406522601511,0.4250886557993945,0.012925633446759968
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-I,0.05,500,500,0.0,0.386592,1.0235575833324184,1.024002711880475,0.42658576959942,0.0
study_power_target_eq0,eq0_power_target_200_120_150_0p0005,200,120,150,0.8,equicorrelation,0.0,0.0005,identity_to_equicorrelation_target_power,alternative,gaussian,Wang-NR,0.05,0,500,0.002,0.3555665906623141,4.806254727071266,5.1042050483114565,0.004085993801360019,0.0019979989989987483
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Li-Chen,0.05,0,500,0.04,0.5130114343112255,-0.044752895449965,-0.047017065577900086,0.0013789665998192504,0.008763560920082658
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Max-bootstrap,0.05,500,500,0.064,0.43112,4.187715885525783,4.1468523787017,0.3948604761993047,0.010945684080951725
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.13,0.358524,1.1300193223973432,1.0063956536396579,0.4303159675990464,0.015039946808416579
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.13,0.380972,1.2807706350620562,0.9832753619999313,0.4313434583985945,0.015039946808416579
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.128,0.390764,1.4443847899838114,0.9390674999401674,0.42609102400008125,0.014940950438308804
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-I,0.05,500,500,0.0,0.38934399999999997,1.0227669998404745,1.0228895591849985,0.42342087179911325,0.0
study_power_target_eq0,eq0_power_target_200_120_150_0p001,200,120,150,0.8,equicorrelation,0.0,0.001,identity_to_equicorrelation_target_power,alternative,gaussian,Wang-NR,0.05,0,500,0.004,0.36855584491999377,4.354626035819421,4.290263976752698,0.003995426399284042,0.002822764602300376
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Li-Chen,0.05,0,500,0.052,0.500045979310434,0.017254396065355993,-0.0043183365966284115,0.0014548127988819033,0.00992935043192655
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Max-bootstrap,0.05,500,500,0.046,0.41374399999999995,4.200595877919477,4.174392283237753,0.4006352353991242,0.00936845771725528
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.39,0.20364000000000002,1.4344178542612662,1.3040259048061738,0.43022093519801274,0.02181284025522582
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.392,0.211388,2.0151056222281607,1.6710722782270064,0.4300523874006467,0.021832819332372078
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.376,0.219184,2.646794989852405,2.0393299091790658,0.42881817839865105,0.021662132858977667
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Ours-I,0.05,500,500,0.0,0.387204,1.023480421844486,1.0234923811292576,0.4277031450001523,0.0
study_power_target_eq0,eq0_power_target_200_120_150_0p002,200,120,150,0.8,equicorrelation,0.0,0.002,identity_to_equicorrelation_target_power,alternative,gaussian,Wang-NR,0.05,0,500,0.01,0.3600879472861916,4.724679736857891,4.5723471308553485,0.00423535260069184,0.0044497190922573975
study_power_target_eq0,eq0_power_target_200_120_150_0p003,200,120,150,0.8,equicorrelation,0.0,0.003,identity_to_equicorrelation_target_power,alternative,gaussian,Li-Chen,0.05,0,500,0.042,0.4822821492780951,0.055749884778309056,0.0799193479660684,0.0013892255995888263,0.008970618707759236
study_power_target_eq0,eq0_power_target_200_120_150_0p003,200,120,150,0.8,equicorrelation,0.0,0.003,identity_to_equicorrelation_target_power,alternative,gaussian,Max-bootstrap,0.05,500,500,0.054,0.424004,4.187665686470225,4.155456946420182,0.39582726479903796,0.010107818755794942
