p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
200,60,60,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,60,60,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
200,60,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.064,0.007739767438366608
200,60,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.013,0.003582038525755969
200,60,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.059,0.007451107300260815
200,60,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.059,0.007451107300260815
200,60,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.055,0.00720936890441875
200,60,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,60,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,60,60,chisq1,toeplitz,0.9,Li-Chen,1000,0.076,0.008379976133617566
200,60,60,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.056,0.007270763371201128
200,60,60,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.043,0.006414904519944158
200,60,60,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.044,0.006485676526007136
200,60,60,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.047,0.006692607862410586
200,60,60,chisq1,toeplitz,0.9,Ours-I,1000,0.005,0.0022304708023195463
200,60,60,chisq1,toeplitz,0.9,Wang-NR,1000,0.013,0.003582038525755969
100,60,60,gaussian,equicorrelation,0.1,Li-Chen,1000,0.073,0.008226238508577295
100,60,60,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.083,0.008724161850859944
100,60,60,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.046,0.006624499981130651
100,60,60,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.05,0.006892024376045111
100,60,60,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.051,0.00695693898205238
100,60,60,gaussian,equicorrelation,0.1,Ours-I,1000,0.001,0.0009994998749374609
100,60,60,gaussian,equicorrelation,0.1,Wang-NR,1000,0.017,0.004087909000944126
100,60,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.106,0.009734680272099337
100,60,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.069,0.008014923580421713
100,60,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.049,0.006826346021115542
100,60,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.065,0.007795832219846705
100,60,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.062,0.007626008130076967
100,60,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.054,0.007147307185227175
100,60,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.049,0.006826346021115542
100,60,60,gaussian,equicorrelation,0.9,Li-Chen,1000,0.108,0.009815090422405696
100,60,60,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.063,0.007683163410991596
100,60,60,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.057,0.007331507348424334
100,60,60,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.062,0.007626008130076967
