study,scenario_id,p,n1,n2,family,rho0,rho_alt,design,alternative,innovation,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Wang-NR
study_size_target,size_target_gaussian_equicorrelation_200_120_150_rho0p1,200,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.089,0.057,0.049,0.053,0.053,0.005,0.032
study_size_target,size_target_gaussian_equicorrelation_200_120_150_rho0p5,200,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.101,0.064,0.054,0.053,0.058,0.051,0.048
study_size_target,size_target_gaussian_equicorrelation_200_120_150_rho0p9,200,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.117,0.055,0.058,0.06,0.056,0.061,0.056
study_size_target,size_target_gaussian_equicorrelation_200_80_100_rho0p1,200,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.089,0.053,0.059,0.06,0.06,0.004,0.028
study_size_target,size_target_gaussian_equicorrelation_200_80_100_rho0p5,200,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.101,0.059,0.053,0.05,0.053,0.053,0.05
study_size_target,size_target_gaussian_equicorrelation_200_80_100_rho0p9,200,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.11,0.063,0.057,0.061,0.056,0.058,0.051
study_size_target,size_target_gaussian_toeplitz_100_120_150_rho0p1,100,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.05,0.061,0.06,0.064,0.061,0.0,0.012
study_size_target,size_target_gaussian_toeplitz_100_120_150_rho0p5,100,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.057,0.05,0.056,0.057,0.052,0.0,0.02
study_size_target,size_target_gaussian_toeplitz_100_120_150_rho0p9,100,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.093,0.066,0.057,0.053,0.048,0.053,0.047
study_size_target,size_target_gaussian_toeplitz_100_80_100_rho0p1,100,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.045,0.056,0.059,0.063,0.065,0.0,0.009
study_size_target,size_target_gaussian_toeplitz_100_80_100_rho0p5,100,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.055,0.053,0.054,0.062,0.059,0.0,0.015
study_size_target,size_target_gaussian_toeplitz_100_80_100_rho0p9,100,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.075,0.079,0.056,0.063,0.056,0.039,0.043
study_size_target,size_target_gaussian_toeplitz_200_120_150_rho0p1,200,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.049,0.057,0.066,0.07,0.066,0.0,0.006
study_size_target,size_target_gaussian_toeplitz_200_120_150_rho0p5,200,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.054,0.06,0.051,0.057,0.057,0.0,0.008
study_size_target,size_target_gaussian_toeplitz_200_120_150_rho0p9,200,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.057,0.048,0.046,0.056,0.054,0.024,0.034
study_size_target,size_target_gaussian_toeplitz_200_80_100_rho0p1,200,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,gaussian,0.056,0.072,0.053,0.053,0.056,0.0,0.004
study_size_target,size_target_gaussian_toeplitz_200_80_100_rho0p5,200,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,gaussian,0.055,0.057,0.05,0.049,0.051,0.0,0.007
study_size_target,size_target_gaussian_toeplitz_200_80_100_rho0p9,200,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,gaussian,0.069,0.064,0.052,0.054,0.056,0.015,0.033
study_size_target,size_target_laplace_equicorrelation_100_120_150_rho0p1,100,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,laplace,0.08,0.021,0.052,0.056,0.065,0.008,0.021
study_size_target,size_target_laplace_equicorrelation_100_120_150_rho0p5,100,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,laplace,0.138,0.059,0.047,0.051,0.049,0.052,0.045
study_size_target,size_target_laplace_equicorrelation_100_120_150_rho0p9,100,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,laplace,0.213,0.053,0.052,0.054,0.052,0.054,0.048
study_size_target,size_target_laplace_equicorrelation_100_80_100_rho0p1,100,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,laplace,0.086,0.02,0.062,0.066,0.063,0.008,0.017
study_size_target,size_target_laplace_equicorrelation_100_80_100_rho0p5,100,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,laplace,0.159,0.058,0.056,0.06,0.057,0.054,0.05
study_size_target,size_target_laplace_equicorrelation_100_80_100_rho0p9,100,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,laplace,0.2,0.066,0.054,0.057,0.056,0.058,0.053
study_size_target,size_target_laplace_equicorrelation_200_120_150_rho0p1,200,120,150,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,laplace,0.089,0.015,0.044,0.046,0.052,0.006,0.026
study_size_target,size_target_laplace_equicorrelation_200_120_150_rho0p5,200,120,150,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,laplace,0.132,0.05,0.05,0.051,0.05,0.048,0.039
study_size_target,size_target_laplace_equicorrelation_200_120_150_rho0p9,200,120,150,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,laplace,0.167,0.04,0.039,0.042,0.042,0.041,0.04
study_size_target,size_target_laplace_equicorrelation_200_80_100_rho0p1,200,80,100,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,laplace,0.082,0.019,0.061,0.067,0.066,0.005,0.026
study_size_target,size_target_laplace_equicorrelation_200_80_100_rho0p5,200,80,100,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,laplace,0.152,0.066,0.061,0.062,0.072,0.065,0.058
study_size_target,size_target_laplace_equicorrelation_200_80_100_rho0p9,200,80,100,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,laplace,0.201,0.053,0.051,0.055,0.053,0.058,0.047
study_size_target,size_target_laplace_toeplitz_100_120_150_rho0p1,100,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,laplace,0.072,0.023,0.042,0.044,0.044,0.0,0.0
study_size_target,size_target_laplace_toeplitz_100_120_150_rho0p5,100,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,laplace,0.065,0.021,0.058,0.062,0.061,0.0,0.006
study_size_target,size_target_laplace_toeplitz_100_120_150_rho0p9,100,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,laplace,0.079,0.055,0.053,0.051,0.053,0.036,0.033
study_size_target,size_target_laplace_toeplitz_100_80_100_rho0p1,100,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,laplace,0.058,0.018,0.047,0.051,0.05,0.0,0.0
study_size_target,size_target_laplace_toeplitz_100_80_100_rho0p5,100,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,laplace,0.055,0.029,0.059,0.067,0.062,0.0,0.003
study_size_target,size_target_laplace_toeplitz_100_80_100_rho0p9,100,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,laplace,0.089,0.05,0.042,0.052,0.052,0.042,0.03
study_size_target,size_target_laplace_toeplitz_200_120_150_rho0p1,200,120,150,toeplitz,0.1,0.1,target_rho_grid_null_size,null,laplace,0.042,0.022,0.05,0.054,0.051,0.0,0.0
study_size_target,size_target_laplace_toeplitz_200_120_150_rho0p5,200,120,150,toeplitz,0.5,0.5,target_rho_grid_null_size,null,laplace,0.056,0.022,0.048,0.053,0.052,0.0,0.0
study_size_target,size_target_laplace_toeplitz_200_120_150_rho0p9,200,120,150,toeplitz,0.9,0.9,target_rho_grid_null_size,null,laplace,0.09,0.046,0.049,0.052,0.052,0.025,0.049
study_size_target,size_target_laplace_toeplitz_200_80_100_rho0p1,200,80,100,toeplitz,0.1,0.1,target_rho_grid_null_size,null,laplace,0.063,0.012,0.047,0.052,0.056,0.0,0.0
study_size_target,size_target_laplace_toeplitz_200_80_100_rho0p5,200,80,100,toeplitz,0.5,0.5,target_rho_grid_null_size,null,laplace,0.062,0.03,0.049,0.048,0.051,0.0,0.0
study_size_target,size_target_laplace_toeplitz_200_80_100_rho0p9,200,80,100,toeplitz,0.9,0.9,target_rho_grid_null_size,null,laplace,0.068,0.07,0.053,0.049,0.057,0.016,0.026
