study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.099,0.528430156121413,-0.03005205378564024,-0.12848566211956736,0.0006433365009725093,0.009444522221901964
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.011,0.649706,3.548863309505063,3.516137300488622,0.07534165640058928,0.003298332912245215
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.058,0.41559199999999996,1.0519552107828165,0.9481373711449298,0.08136804629908875,0.007391616873188166
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.058,0.443158,1.0731281839316005,0.8217788308991496,0.0812052938011475,0.007391616873188166
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.062,0.459378,1.093718397292288,0.6989316261610784,0.08052850730111823,0.007626008130076967
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.01,0.39319600000000005,1.031319053654922,1.0221445986613107,0.0805440420008963,0.003146426544510455
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p1,100,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.004,0.4171165300244732,3.1768744605112507,2.172124340753996,0.001493246199679561,0.001995995991979944
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.206,0.6287185608935891,-0.19293538202542668,-1.0132709411852858,0.0007170472983270884,0.0127892142057282
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.024,0.537452,2.8799668083003582,2.8350597432065228,0.0802411642022198,0.004839834707921336
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.049,0.436274,1.0354801215264087,0.8877290884560294,0.08531469669903163,0.006826346021115542
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.045,0.461534,1.0369787303200817,0.7401749425200537,0.08526750130252912,0.0065555320150236475
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.054,0.47517200000000004,1.0379964660068721,0.6119889619363597,0.08585182480036747,0.007147307185227175
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.048,0.46069600000000005,1.032568887541604,0.7366044673533227,0.08554903540119994,0.006759881655768835
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p5,100,80,100,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.037,0.4599117201444036,-2.827563454466706,-82.54471527666735,0.0016928062004735694,0.005969170796685248
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.269,0.6281050218398071,-0.32661597138394993,-1.6033451862545463,0.0006498189010890201,0.014022802858202064
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.052,0.487418,1.5097950185264433,1.4155385281743647,0.07690583199821413,0.007021111023192838
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.059,0.42732,1.066941020745675,0.846296430052208,0.08309996590064839,0.007451107300260815
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.062,0.44562799999999997,1.0884996161032363,0.7227782484080654,0.08308078459929674,0.007626008130076967
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.061,0.45456599999999997,1.1013552729970832,0.6428617923961402,0.08257174339715857,0.0075682891065286355
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.061,0.461304,1.1084690198785667,0.6126790108544515,0.08252926189941354,0.0075682891065286355
study_size_target,size_target_chisq1_equicorrelation_100_80_100_rho0p9,100,80,100,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.058,0.45571501340351395,-2.834721198081228,-373.3074687535814,0.0015247666981304064,0.007391616873188166
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.097,0.5630076149842016,-0.0859849794615172,-0.3360379290435142,0.0013764779025223107,0.00935900635751467
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.009,0.693852,3.8592046271517786,3.8185628279904833,0.37396675809915175,0.002986469487538756
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.049,0.45528399999999997,1.016063824326356,0.9158152499643399,0.40036004669754766,0.006826346021115542
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.053,0.480012,1.0039081695947691,0.770775494177155,0.40162032139790244,0.00708456067798138
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.046,0.494678,0.987206072200879,0.6248642026005777,0.401387914998224,0.006624499981130651
